Game, Training Size, Validation Size, Min Error, Mean Error, Max Error
1, 74, 19, 0.15575194129311765, 0.5820856622380519, 0.8280607132680491
2, 72, 19, 0.001307850595067106, 0.42391367469106345, 0.6235111970565896
3, 96, 24, 0.15549934148377087, 0.2890136155549195, 0.4077849434890255
4, 67, 17, 0.23840598089897974, 0.28896514600266043, 0.321233567580357
5, 105, 27, 0.19862046789304072, 0.2646805030242266, 0.40688182039767484
6, 83, 21, 0.12966387572650329, 0.24188455073253193, 0.3700668908236164
7, 68, 17, 0.1365862539260413, 0.30860585119781947, 0.4254089173545029
8, 89, 23, 0.13685791613030263, 0.228774554773074, 0.5142211518315378
9, 124, 32, 0.20913193146065262, 0.2842219409281408, 0.40930960054380766
10, 82, 21, 0.21300579446508083, 0.2769296004322597, 0.3592920223069751
11, 77, 20, 0.1945109590435236, 0.2786086575991778, 0.434441492072013
12, 100, 25, 0.17222647725032453, 0.2529221804689527, 0.3466872660706368
13, 71, 18, 0.16338320347767454, 0.24735034813614665, 0.43675587492774187
14, 80, 20, 0.17014364569229806, 0.257396027805904, 0.3912114667423881
15, 92, 23, 0.1876813670307932, 0.27800417233991037, 0.4214513778859382
16, 86, 22, 0.188043646904813, 0.2338203778040705, 0.36375972959713865
17, 72, 18, 0.1407157831629574, 0.2510430759870481, 0.46712391660636227
18, 119, 30, 0.18591818769539514, 0.26201725337084386, 0.41229947816459955
19, 88, 23, 0.19932741175649749, 0.25668209257840346, 0.3596806931552057
20, 109, 28, 0.18056069501316108, 0.27716360844449434, 0.4177268104585413
21, 73, 19, 0.14398699647140845, 0.2401021316405056, 0.38772222459647115
22, 72, 19, 0.1137477612220594, 0.21591420796021218, 0.40955317976144107
23, 111, 28, 0.1476807747068884, 0.23929831830837567, 0.4422593826956874
24, 92, 24, 0.1724863422604796, 0.24857505729366905, 0.4155916812027325
25, 160, 40, 0.10890384896771188, 0.25190844993579786, 0.4820100563066807
26, 85, 22, 0.22466412618487464, 0.2858714729274413, 0.3473856932283214
27, 93, 24, 0.18122043878828858, 0.26177166245467437, 0.385684810503635
28, 98, 25, 0.17365852402852394, 0.24216500253177414, 0.3811617784033968
29, 92, 23, 0.18612280813069493, 0.2696151941646454, 0.39987882529710245
30, 104, 27, 0.1407570991661733, 0.22056385297071857, 0.3488105457675342
31, 96, 25, 0.14846871286879923, 0.2297011355157748, 0.4087404392555582
32, 78, 20, 0.1279579481600442, 0.2769294570537012, 0.47604416722827814
33, 70, 18, 0.1556118630383167, 0.2402817224456674, 0.3683521869877221
34, 82, 21, 0.12873292378036919, 0.19331588930682497, 0.42683911596425134
35, 72, 19, 0.1235719096619523, 0.21155832078364567, 0.47400253292813577
36, 112, 29, 0.16763142774534556, 0.2366684571006358, 0.36974268390732173
37, 81, 21, 0.1475183413515056, 0.18405084303467534, 0.3774590361708756
38, 76, 19, 0.1036613914163495, 0.19073353610762583, 0.36398270681274114
39, 79, 20, 0.10215927335589037, 0.19115632183544656, 0.38854152400460984
40, 84, 22, 0.14948009138396476, 0.25258842191200864, 0.3804010092629729
41, 57, 15, 0.21192500352394267, 0.22720192522465157, 0.3550678499188643
42, 76, 19, 0.11639237388972345, 0.2487347261852007, 0.41465092000646425
43, 59, 15, 0.0862659648539037, 0.19039445969442098, 0.4204305340392076
44, 84, 21, 0.11513346806149197, 0.23155691483172317, 0.4754631737458608
45, 77, 20, 0.16550688743939268, 0.22713285556719107, 0.3070159249275745
46, 84, 21, 0.10780737452755806, 0.19293580055863635, 0.3306027510588994
47, 76, 19, 0.12022805616025001, 0.18989180801283387, 0.43179287804268446
48, 92, 24, 0.13185437524639748, 0.22633967227582677, 0.3797313843002951
49, 93, 24, 0.15858575460900043, 0.24531168764066633, 0.415318026888315
50, 97, 25, 0.17426124398401527, 0.2376462382791008, 0.38613684488273814
51, 93, 24, 0.17109020927035073, 0.2412954991167153, 0.3408651886565871
52, 91, 23, 0.13335151635065895, 0.2611466514082981, 0.3857081428456863
53, 91, 23, 0.12150299045738305, 0.23141554029305936, 0.4457207903295689
54, 80, 21, 0.11325704156123123, 0.2300025860010432, 0.353585273326053
55, 77, 20, 0.11663479604991212, 0.23054861268715282, 0.46075769452637094
56, 91, 23, 0.1696618184027414, 0.2440078912724333, 0.3657751286605764
57, 98, 25, 0.16078238084220256, 0.2383178227431555, 0.332345314743765
58, 120, 31, 0.1227299422613499, 0.21980719077067085, 0.41960186119932347
59, 160, 40, 0.06482994209901138, 0.20901174114664123, 0.4988341295238651
60, 113, 29, 0.14185541023743964, 0.22698085845491733, 0.3682025439136729
61, 68, 18, 0.16628203676925082, 0.22825915314244302, 0.35849461391866455
62, 88, 22, 0.16155935495811932, 0.2241591386450992, 0.37673781144079405
63, 74, 19, 0.17453986827339857, 0.22642758087132725, 0.32461235421922957
64, 84, 22, 0.0772971510795413, 0.18189495719970158, 0.35355197257939336
65, 65, 17, 0.12394320212445731, 0.1791443061648796, 0.33857905237694447
66, 90, 23, 0.09876758070264696, 0.24542791030976407, 0.4100697210537533
67, 78, 20, 0.1070591781484759, 0.20340461223091455, 0.4531498157102051
68, 59, 15, 0.12532273077742287, 0.21040623349028426, 0.31995384812332855
69, 99, 25, 0.11392328750275976, 0.21504419806027808, 0.34555667686099206
70, 112, 28, 0.10345133410991497, 0.21660015071863117, 0.44918048166269076
71, 71, 18, 0.1550142442289258, 0.24464295258171306, 0.3554824959214589
72, 115, 29, 0.13344737244117072, 0.22202626390598984, 0.41590280355165127
73, 81, 21, 0.12506287239566388, 0.21618953533534033, 0.323751096190174
74, 91, 23, 0.13776392249608965, 0.2375139084990479, 0.3981897692888696
75, 88, 23, 0.14583124003132522, 0.21020821572791668, 0.38531530304473266
76, 112, 28, 0.14316845111005735, 0.21733467144366236, 0.3242375746313707
77, 83, 21, 0.15790640533215528, 0.20472203552971846, 0.34624434870602594
78, 71, 18, 0.1267539178418218, 0.22557155352290564, 0.3147850490412666
79, 102, 26, 0.1231180927737692, 0.2028700238056368, 0.4314020287209797
80, 79, 20, 0.126583521440059, 0.21169572222575797, 0.33529025525349365
81, 88, 22, 0.08696996679972543, 0.17130577420224108, 0.41416459499243846
82, 88, 23, 0.11258784578991463, 0.16251407335991008, 0.3395707870449572
83, 92, 23, 0.060771266865256635, 0.1747862308538648, 0.40515473323988765
84, 80, 21, 0.06045139184288709, 0.1451886896907401, 0.39049157749488894
85, 93, 24, 0.06477009067282335, 0.17343476472177907, 0.3787104724616222
86, 83, 21, 0.07964009645250653, 0.17925762402871215, 0.3818137039359659
87, 103, 26, 0.09611292798290369, 0.23749586361882347, 0.44010554947299635
88, 160, 40, 0.13832423632565805, 0.2265705608871394, 0.4835411104784082
89, 104, 27, 0.10647686241024704, 0.2280049861636639, 0.34503613071985856
90, 90, 23, 0.15256862692818374, 0.21467511917923213, 0.35210566545666777
91, 75, 19, 0.14155589846444178, 0.22411650139741154, 0.31610904747456564
92, 97, 25, 0.08236473125982963, 0.2077485874457402, 0.4594499090826211
93, 94, 24, 0.10723580455016218, 0.21232204070516067, 0.40130440147884505
94, 76, 20, 0.08658170713689556, 0.19717230606518973, 0.3622980941550404
95, 76, 20, 0.06633192011240227, 0.17392064164265425, 0.3785742752292166
96, 90, 23, 0.10875380373781382, 0.21371501228622983, 0.3434702269236853
97, 100, 25, 0.13424003196109313, 0.20805504029415012, 0.3626784549322757
98, 93, 24, 0.11765796570258577, 0.20230975179042268, 0.32119176075915634
99, 98, 25, 0.12102273877866623, 0.19334477258563573, 0.3196864372742828
100, 86, 22, 0.11718394593071293, 0.17085121620208932, 0.3342114961442532
101, 96, 24, 0.11918708610501277, 0.21410817110853275, 0.310823948886277
102, 102, 26, 0.1088638968641881, 0.20887203396635148, 0.34527750045108213
103, 78, 20, 0.0941316249672135, 0.20689233130395515, 0.28647400343396495
104, 99, 25, 0.10561137191760236, 0.22265297501278752, 0.31371184529963964
105, 96, 24, 0.09668151041604178, 0.20984415934354553, 0.395181417531656
106, 71, 18, 0.08487919802524485, 0.18200050552204364, 0.27266974001940497
107, 73, 19, 0.10874680354031344, 0.19420336238630864, 0.3055429247907442
108, 120, 31, 0.11926730583082978, 0.19595825669587216, 0.32159195277901487
109, 72, 19, 0.10776277723717834, 0.17299276846619754, 0.3746486783921661
110, 75, 19, 0.1148326648741908, 0.20370530449322236, 0.32942376844950694
111, 79, 20, 0.06775788109301412, 0.19023043287051458, 0.3093222370531244
112, 72, 18, 0.068315892679779, 0.17972987053535155, 0.3018532110466761
