Game, Training Size, Validation Size, Min Error, Mean Error, Max Error
1, 74, 19, 0.17890325142236668, 0.2940025701906926, 0.4831140955907134
2, 72, 19, 0.14345914969843013, 0.2566090150339822, 0.6071153377711298
3, 96, 24, 0.24638350951830212, 0.3182619477880669, 0.5496468697023995
4, 67, 17, 0.1797124025805135, 0.2657612305162045, 0.4953224070565768
5, 105, 27, 0.19066342456136925, 0.27785059486323976, 0.5540055990973933
6, 83, 21, 0.09447094332313014, 0.24401313223115756, 0.5506623695596875
7, 68, 17, 0.10419796726735012, 0.36738047276847857, 0.5394265549012752
8, 89, 23, 0.13918459077088371, 0.2654700885993532, 0.5974012635455423
9, 124, 32, 0.28474605956027305, 0.3559113172154056, 0.4942756463285703
10, 82, 21, 0.2718171290274113, 0.34725906896249503, 0.42167824505886214
11, 77, 20, 0.1840079258199135, 0.3397292278403971, 0.5532812040502206
12, 100, 25, 0.20287344755787973, 0.2887144457421133, 0.44028943652638536
13, 71, 18, 0.14996027439434248, 0.2793902991807329, 0.577085305931727
14, 80, 20, 0.13670252292814783, 0.27131013828353395, 0.46998948183722716
15, 92, 23, 0.2563041198935981, 0.34075246678237653, 0.4845834573289366
16, 86, 22, 0.15221606385607106, 0.2653479510252396, 0.4393133629382351
17, 72, 18, 0.1687397654962143, 0.3035465592133446, 0.569589391229479
18, 119, 30, 0.22013526001922246, 0.31698429662887934, 0.48153749080595215
19, 88, 23, 0.22551217707999477, 0.313285571291734, 0.47561781172096634
20, 109, 28, 0.19746057436098496, 0.3359685888685557, 0.4958968270882328
21, 73, 19, 0.09490461759307528, 0.2558668286405967, 0.4844016933474669
22, 72, 19, 0.1361883955091886, 0.20263575554761803, 0.4703012775073606
23, 111, 28, 0.2261303086755595, 0.292810559505312, 0.48409800229239186
24, 92, 24, 0.20202035366597326, 0.2775039790264328, 0.47485418003380037
25, 160, 40, 0.10391654261949235, 0.25530067055932865, 0.5650871559982737
26, 85, 22, 0.19427274866533079, 0.2578063630756811, 0.40135514846242537
27, 93, 24, 0.17116903325643457, 0.29344945109864057, 0.49034851727890644
28, 98, 25, 0.23629422969350156, 0.2929417212709784, 0.4483036734340786
29, 92, 23, 0.21259054748193912, 0.3075903146887985, 0.4585933881601119
30, 104, 27, 0.13347502931326874, 0.22443836348359905, 0.40798555031305805
31, 96, 25, 0.17150941986899138, 0.26266482807102576, 0.472305846601551
32, 78, 20, 0.11233700962333817, 0.3107234542715079, 0.5565083558195982
33, 70, 18, 0.14679872121091417, 0.2635536449897207, 0.3843632645422996
34, 82, 21, 0.11498505828365044, 0.19083293224109477, 0.5258301094523097
35, 72, 19, 0.11893677718486584, 0.2283909574899278, 0.5212787861581516
36, 112, 29, 0.20119381926476287, 0.26736043076480825, 0.3870931886364999
37, 81, 21, 0.15983148881062878, 0.20108090765685802, 0.4779203969413662
38, 76, 19, 0.08167959519618584, 0.16409638394690643, 0.3959386032393848
39, 79, 20, 0.0798460466366481, 0.20323405717180004, 0.45015794352307315
40, 84, 22, 0.19031252475585858, 0.27116350043345894, 0.4212885931658219
41, 57, 15, 0.2046739132912801, 0.22895764896861084, 0.4118169551393067
42, 76, 19, 0.06686390695995714, 0.24315251383867284, 0.44766809148257064
43, 59, 15, 0.06480364131604743, 0.18095071612501504, 0.4793064062841406
44, 84, 21, 0.15918954289069853, 0.27049099874745464, 0.46226600599139867
45, 77, 20, 0.21682494826123905, 0.2673880779572935, 0.35568041858177546
46, 84, 21, 0.0811349818734658, 0.1842560217559055, 0.4443337806605394
47, 76, 19, 0.10874204023737197, 0.1845220792294093, 0.5028685821207552
48, 92, 24, 0.14456075047242425, 0.2557749126145575, 0.45696773351958564
49, 93, 24, 0.1691164637752235, 0.2687282126008336, 0.42095055267582565
50, 97, 25, 0.1875302553888613, 0.2541421854777194, 0.37152375016296674
51, 93, 24, 0.1744960222355384, 0.23194330886673645, 0.3768580527608491
52, 91, 23, 0.13417244472323234, 0.2682702977097096, 0.44195427033201334
53, 91, 23, 0.14768470145321025, 0.2426482183464164, 0.42701393450015124
54, 80, 21, 0.08152571187694924, 0.24303237406474917, 0.3935190469975531
55, 77, 20, 0.0994512318154315, 0.22933296982362647, 0.46361836983678484
56, 91, 23, 0.14613026456061518, 0.25605630809746827, 0.38363709364185344
57, 98, 25, 0.14213141983234376, 0.24628117878870934, 0.3933242142586763
58, 120, 31, 0.11392799861495082, 0.22942012477062634, 0.43960211703876784
59, 160, 40, 0.017356069313720468, 0.18821099521022971, 0.588719770776531
60, 113, 29, 0.14430710585511905, 0.21921472850238033, 0.3662921513048899
61, 68, 18, 0.1320471768682364, 0.22274403225163886, 0.4065146881989982
62, 88, 22, 0.14782578816195124, 0.22037661086545518, 0.3540592042740746
